ENSE00003554024,ENSE00003583986
ENSE00003554024,ENSE00003531178
ENSE00000688478,ENSE00000985052
ENSE00000688478,ENSE00001556395
ENSE00000688477,ENSE00000985052
ENSE00000688477,ENSE00001556395
ENSE00001915458,ENSE00000985052
ENSE00001915458,ENSE00001556395
ENSE00003508954,ENSE00000985052
ENSE00003508954,ENSE00001556395
ENSE00001339909,ENSE00003678736
ENSE00003591048,ENSE00000985052
ENSE00000909632,ENSE00003674725
ENSE00000909632,ENSE00003790474
ENSE00003477966,ENSE00003902792
ENSE00003477966,ENSE00003630242
ENSE00003477966,ENSE00003640336
ENSE00003642735,ENSE00003683673
ENSE00000862778,ENSE00003587136
ENSE00000862778,ENSE00002448333
ENSE00000862778,ENSE00002485231
ENSE00000862778,ENSE00000883209
ENSE00000862778,ENSE00002504240
ENSE00001016734,ENSE00001462052
ENSE00003520367,ENSE00003683673
ENSE00003592952,ENSE00003340619
ENSE00003592952,ENSE00001827582
ENSE00003592952,ENSE00000945911
ENSE00003523974,ENSE00003664214
ENSE00003623917,ENSE00001032153
ENSE00003467884,ENSE00003480468
ENSE00003467884,ENSE00003503758
ENSE00003467884,ENSE00003578043
ENSE00003478955,ENSE00003467884
ENSE00003583971,ENSE00001017286
ENSE00000806178,ENSE00003658310
ENSE00000806178,ENSE00003614956
ENSE00000806178,ENSE00003577347
ENSE00000806178,ENSE00003517533
ENSE00000806178,ENSE00003677592
ENSE00000806178,ENSE00003467046
ENSE00001701307,ENSE00000964869
ENSE00001082009,ENSE00003517533
ENSE00001082009,ENSE00001160195
ENSE00003476829,ENSE00003902792
ENSE00001711912,ENSE00001443487
ENSE00001711912,ENSE00003926993
ENSE00001711912,ENSE00003458629
ENSE00001711912,ENSE00003694078
ENSE00003527924,ENSE00003690053
ENSE00003527924,ENSE00003581567
ENSE00003527924,ENSE00003547708
ENSE00003527924,ENSE00001711912
ENSE00001848246,ENSE00003799728
ENSE00001848246,ENSE00001648562
ENSE00001848246,ENSE00001730682
ENSE00001848246,ENSE00003670823
ENSE00003631791,ENSE00001479865
ENSE00003631791,ENSE00001389810
ENSE00003631791,ENSE00001370421
ENSE00003631791,ENSE00003470434
ENSE00003705548,ENSE00003785688
ENSE00003705548,ENSE00001018687
ENSE00003484214,ENSE00001037911
ENSE00003484214,ENSE00000753322
ENSE00001896436,ENSE00001037911
ENSE00001896436,ENSE00000753322
ENSE00001329280,ENSE00001172204
ENSE00000806180,ENSE00003614956
ENSE00000806180,ENSE00003577347
ENSE00000806180,ENSE00003517533
ENSE00000806180,ENSE00003677592
ENSE00003574631,ENSE00001676168
ENSE00003600697,ENSE00003895330
ENSE00003600697,ENSE00003889056
ENSE00003600697,ENSE00002524628
ENSE00003600697,ENSE00001179852
ENSE00001299764,ENSE00000822931
ENSE00001299764,ENSE00003784417
ENSE00001797294,ENSE00002177786
ENSE00000942369,ENSE00003458636
ENSE00000942369,ENSE00003584420
ENSE00003660541,ENSE00001931940
ENSE00003617547,ENSE00001157702
ENSE00003603699,ENSE00003508191
ENSE00003495350,ENSE00003786987
ENSE00003495350,ENSE00001032153
ENSE00001484591,ENSE00001827582
ENSE00001484591,ENSE00000945911
ENSE00003647699,ENSE00001484591
ENSE00003542421,ENSE00001484591
ENSE00003668268,ENSE00003666213
ENSE00003668268,ENSE00003665552
ENSE00003512505,ENSE00001443487
ENSE00003512505,ENSE00003926993
ENSE00003600249,ENSE00003678736
ENSE00000986172,ENSE00001339949
ENSE00000986172,ENSE00003610202
ENSE00000986172,ENSE00001339889
ENSE00000986172,ENSE00003600249
ENSE00001092891,ENSE00001339949
ENSE00001092891,ENSE00003610202
ENSE00001092891,ENSE00001339889
ENSE00001092891,ENSE00003600249
ENSE00003535152,ENSE00003670210
ENSE00003509108,ENSE00001017286
ENSE00003564005,ENSE00003627294
ENSE00003564005,ENSE00001017286
ENSE00003642019,ENSE00003595055
ENSE00003505271,ENSE00001532206
ENSE00003505271,ENSE00003673177
ENSE00003505271,ENSE00001816188
ENSE00003598136,ENSE00001157702
ENSE00003600762,ENSE00003708122
ENSE00003600762,ENSE00003556550
ENSE00003649655,ENSE00003600762
ENSE00001186022,ENSE00003600762
ENSE00002031107,ENSE00003569945
ENSE00002031107,ENSE00003525556
ENSE00002031107,ENSE00003518253
ENSE00003617330,ENSE00001456702
ENSE00000806974,ENSE00001890161
ENSE00000901292,ENSE00000858712
ENSE00003506384,ENSE00003577369
ENSE00003559203,ENSE00003588585
ENSE00003559203,ENSE00002478802
ENSE00000896208,ENSE00003640336
ENSE00003497892,ENSE00001801024
ENSE00001893967,ENSE00001160195
ENSE00001056262,ENSE00003504891
ENSE00003477910,ENSE00000671403
ENSE00003508863,ENSE00001801024
ENSE00003733683,ENSE00003693024
